customer_id,full_name,email,country,signup_date,risk_segment
CUST_00070,Elliott Jones,rthomas@example.net,Tunisia,2025-01-29,low
CUST_00071,Mrs Abigail Coleman,geoffrey76@example.net,Panama,2024-03-08,medium
CUST_00072,Tony Ali,rosediana@example.net,Swaziland,2025-09-08,low
CUST_00073,Katy Butler,rachelfinch@example.net,Bahamas,2023-06-28,low
CUST_00074,Reece Stevens,nicola35@example.net,Samoa,2023-06-28,low
CUST_00075,Jennifer Stone,lwilliams@example.com,Sri Lanka,2023-05-05,medium
CUST_00076,Bethan Young,norman91@example.org,Falkland Islands (Malvinas),2021-12-23,medium
CUST_00077,Kirsty Marshall,fowlerhayley@example.com,Guernsey,2022-10-08,medium
CUST_00078,Ms Margaret Evans,thomaslorraine@example.net,French Polynesia,2024-02-22,high
CUST_00079,Mr Bryan Walsh,invalid_email,American Samoa,2021-09-27,medium
CUST_00080,Pauline Sullivan-Thomas,cperry@example.net,Lao People's Democratic Republic,2022-07-31,low
CUST_00081,Bethan Stokes-Day,leesmith@example.net,French Southern Territories,2025-01-17,medium
CUST_00082,Andrea Burton,natasha40@example.com,Suriname,2024-04-12,medium
CUST_00083,Ian Webb,rdyer@example.com,Greenland,2021-07-03,low
CUST_00084,Ryan Nelson,invalid_email,Belize,2021-07-23,high
CUST_00085,Sandra Hancock-Russell,gemma99@example.com,San Marino,2023-01-05,medium
CUST_00086,Connor Cross-Bishop,katyphillips@example.net,Monaco,2023-03-28,high
CUST_00087,Miss Susan Hunt,daniel34@example.com,North Macedonia,2023-07-13,high
CUST_00088,Mrs June Barker,kathleen99@example.org,Switzerland,2025-07-13,unknown
CUST_00089,Dorothy Heath,rosiewalters@example.com,Cyprus,2024-09-17,low
CUST_00090,Oliver Adams-White,lewishannah@example.net,Palestinian Territory,2025-12-18,high
CUST_00091,Daniel Webster,bradleyharris@example.net,Mali,2021-10-23,high
CUST_00092,Dorothy Taylor,jacqueline28@example.com,Namibia,2023-05-26,low
CUST_00093,Abbie Haynes,gillian27@example.com,Guadeloupe,2022-12-04,high
CUST_00094,Dr Linda Cooper,matthew44@example.com,Albania,2022-02-15,high
CUST_00095,Amanda Hamilton,bibimalcolm@example.com,Chile,2026-01-10,low
CUST_00096,Dr Heather O'Neill,beverleywatts@example.net,Heard Island and McDonald Islands,2022-05-20,low
CUST_00097,Nicole Hancock,dsmith@example.net,Saint Helena,2022-10-10,medium
CUST_00098,Jenna Thomas-Martin,hardyheather@example.net,Timor-Leste,2025-11-05,medium
CUST_00099,Grace Doyle,iwells@example.net,Ecuador,2023-06-23,unknown
CUST_00100,Dr Stanley Farmer,tombarker@example.net,American Samoa,2025-10-17,high
CUST_00101,Chloe Morgan,frederickgardiner@example.com,Portugal,2022-03-01,high
CUST_00102,Irene Patel,bernard89@example.net,Angola,2021-10-20,high
CUST_00103,Marilyn Alexander,mariachambers@example.org,French Polynesia,2023-03-10,low
CUST_00104,Chelsea Wright,hannah43@example.com,Sao Tome and Principe,2025-04-07,high
CUST_00105,Damian Stephens,gnorman@example.org,Russian Federation,2025-07-28,medium
CUST_00106,Ross Robinson,invalid_email,Luxembourg,2024-07-23,low
CUST_00107,Rachael Brown-Byrne,bryantmarcus@example.com,Micronesia,2023-01-06,low
CUST_00108,Ms Christine Cross,vporter@example.net,Nicaragua,2023-01-26,low
CUST_00109,Miss Hazel Gordon,gibbonsdenis@example.com,Cambodia,2023-09-29,medium
CUST_00110,Mr Frank Fraser,danny13@example.net,Italy,2025-10-07,medium
CUST_00111,Julie Matthews,carolynbooth@example.net,Sierra Leone,2023-06-05,medium
CUST_00112,Sian Grant,alicewall@example.org,Chad,2023-04-28,low
CUST_00113,Lynne Powell,patrick61@example.org,Belize,2022-06-06,low
CUST_00114,Andrea King,lorrainebell@example.org,Malawi,2021-10-22,high
CUST_00115,Raymond Dixon-Morgan,brennandorothy@example.com,Saint Vincent and the Grenadines,2023-07-30,high
CUST_00116,Gerard Martin,rebeccadyer@example.net,Singapore,2022-01-04,medium
CUST_00117,Mrs Kirsty Clarke,blakesophie@example.com,Brunei Darussalam,2025-04-11,low
CUST_00118,Dr Philip Briggs,francis53@example.net,Liechtenstein,2022-01-23,high
CUST_00119,Mr Dylan Nicholls,thompsonmelanie@example.net,Tanzania,2023-12-20,medium
CUST_00120,Mr Robert Benson,samuel16@example.com,Hong Kong,2023-09-20,medium
CUST_00121,Grace Smith,vwatson@example.net,Dominica,2024-05-29,high
CUST_00122,Clare Ingram,alicebriggs@example.org,Saint Martin,2024-06-13,medium
CUST_00123,Nathan Richards,leannemason@example.com,Mauritius,2025-06-07,low
CUST_00124,Marilyn Begum-Howe,qfoster@example.com,Hungary,2024-10-28,medium
CUST_00125,Neil Hudson,mitchellscott@example.com,Australia,2022-05-06,low
CUST_00126,Anne Khan,dalewilliams@example.org,Austria,2023-05-16,low
CUST_00127,Donna King-Robinson,woodwardjennifer@example.org,Cambodia,2024-04-23,unknown
CUST_00128,Mr Shaun Saunders,colinpeacock@example.com,Norfolk Island,2025-11-19,high
CUST_00129,Dr Josephine Dunn,gareth96@example.org,Denmark,2025-12-09,high
CUST_00130,Georgia Kemp,annmartin@example.net,Slovenia,2023-12-13,medium
CUST_00131,Dr Colin Rose,phillip16@example.com,Seychelles,2022-07-15,high
CUST_00132,Ms Susan Smith,ewilliams@example.org,Bosnia and Herzegovina,2023-01-30,high
CUST_00133,Frances Lowe,marianbegum@example.net,Jordan,2023-11-20,medium
CUST_00134,Brandon Spencer-Richardson,joycebarbara@example.org,Monaco,2023-05-08,high
CUST_00135,Elaine Harris,tjackson@example.net,Cocos (Keeling) Islands,2024-03-08,medium
CUST_00136,Amber Rogers,connor54@example.net,Paraguay,2023-01-04,medium
CUST_00137,Miss Clare Thomas,potterbruce@example.net,French Southern Territories,2022-03-10,low
CUST_00138,Emily Dunn,janice85@example.org,Bangladesh,2025-12-05,low
CUST_00139,Mr Cameron Simmons,taylormarie@example.org,Pakistan,2026-01-15,unknown
CUST_00140,Mr Francis Williams,antony69@example.org,Guadeloupe,2025-01-10,medium
CUST_00141,Miss Katy Nash,porterjohn@example.net,Guinea-Bissau,2025-05-15,low
CUST_00142,Melanie Moore,peter02@example.org,Slovakia (Slovak Republic),2021-09-18,low
CUST_00143,Gavin Foster,obailey@example.org,Taiwan,2022-02-04,low
CUST_00144,Barry Hodgson,webbvalerie@example.com,Trinidad and Tobago,2023-02-13,low
CUST_00145,Lucy Fisher,jonathan24@example.net,Bermuda,2023-05-01,high
CUST_00146,Mr Jamie Walker,irichards@example.com,Saint Lucia,2022-10-03,low
CUST_00147,Natalie Akhtar,dalewong@example.com,Falkland Islands (Malvinas),2024-02-04,high
CUST_00148,Mohammed Collier,clarkelliott@example.net,Bouvet Island (Bouvetoya),2022-09-23,medium
CUST_00149,Dr Leon Parkinson,westlynne@example.org,Western Sahara,2021-05-10,high
CUST_00150,Dr Ryan French,cherylrandall@example.com,Angola,2022-01-05,low
CUST_00151,Patrick Watson,arnolddeclan@example.org,Gambia,2022-12-04,medium
CUST_00152,Ronald Boyle,alexander63@example.org,Uzbekistan,2023-06-01,medium
CUST_00153,Nathan Russell,hayesgeoffrey@example.com,British Virgin Islands,2023-02-06,high
CUST_00154,Dr Denis Hale,davidsonstuart@example.net,Poland,2023-04-05,medium
CUST_00155,Dr Conor Morris,nichollsedward@example.org,France,2025-09-12,high
CUST_00156,Mr Gerald Johnson,kclark@example.org,Jamaica,2021-06-12,medium
CUST_00157,Jake Griffiths,invalid_email,Seychelles,2025-12-09,high
CUST_00158,Marc Taylor,howedorothy@example.org,Switzerland,2023-08-09,low
CUST_00159,Dr Paige Taylor,deniswright@example.com,Thailand,2025-05-18,high
CUST_00160,Ms Cheryl Hicks,reesbarbara@example.org,Oman,2024-09-07,high
CUST_00161,Dr Leon Nicholson,tphillips@example.org,Holy See (Vatican City State),2025-04-01,low
CUST_00162,Miss Lesley Brooks,kirstyoliver@example.com,Egypt,2025-08-28,high
CUST_00163,Brenda Perry,fmoore@example.org,Gambia,2022-02-16,high
CUST_00164,Mohamed Burke,charlie50@example.org,Bosnia and Herzegovina,2022-12-08,medium
CUST_00165,Maureen Nicholson,katiegreen@example.net,Antarctica (the territory South of 60 deg S),2021-12-08,high
CUST_00166,Dr Georgina Morton,dwright@example.com,Italy,2021-10-07,medium
CUST_00167,Vanessa Shaw,jessica70@example.net,French Southern Territories,2025-05-12,low
CUST_00168,Luke Nolan,invalid_email,Ghana,2022-01-02,medium
CUST_00169,Debra Johnson-Moore,jhenderson@example.com,Georgia,2025-01-11,medium
CUST_00170,Wendy King,westdeborah@example.net,Cuba,2022-02-22,low
CUST_00171,Timothy Oliver,traceywheeler@example.net,Switzerland,2021-03-04,medium
CUST_00172,Fiona Murray,murphygordon@example.net,Myanmar,2022-03-14,low
CUST_00173,Kimberley White,laurencoates@example.org,Palestinian Territory,2026-02-06,high
CUST_00174,Clifford Barber,scottosullivan@example.com,Cyprus,2024-02-28,high
CUST_00175,Mrs Jean Harrison,simpsonmargaret@example.org,Nauru,2022-04-18,medium
CUST_00176,Susan Baker,debramoore@example.net,Hungary,2021-07-21,high
CUST_00177,Paula Phillips,blakejoanne@example.net,Australia,2023-04-15,low
CUST_00178,Valerie Robinson-May,bethconway@example.com,Guatemala,2025-07-18,high
CUST_00179,Craig Watson,anthonysmith@example.org,Greenland,2025-12-01,low
CUST_00180,Gary Pearce-Harris,anthonywood@example.org,Russian Federation,2022-02-01,high
CUST_00181,Matthew Lee,marion66@example.org,Niger,2024-11-14,medium
CUST_00182,Ellie Watson-Carter,jane26@example.net,Haiti,2024-01-07,high
CUST_00183,Garry Stevenson-North,jenna28@example.com,Kenya,2023-03-17,high
CUST_00184,Terence Parkinson,zrobinson@example.org,Philippines,2025-01-11,high
CUST_00185,Mr Darren Johnson,martinlynne@example.com,Libyan Arab Jamahiriya,2022-07-27,low
CUST_00186,Dr Elliott Wilson,khandylan@example.net,Cyprus,2025-09-20,low
CUST_00187,Ronald Martin,curtiszoe@example.com,Ethiopia,2024-10-17,medium
CUST_00188,Gail Gregory,moranamelia@example.com,Guyana,2022-03-08,low
CUST_00189,Benjamin King,carterleonard@example.com,Serbia,2023-04-08,high
CUST_00190,Duncan Martin-Thomas,thomasmohamed@example.org,Philippines,2025-11-29,high
CUST_00191,Stacey Todd,eric70@example.net,American Samoa,2023-08-28,low
CUST_00192,Miss Christine Evans,ewebb@example.net,Czech Republic,2021-03-16,high
CUST_00193,Gerald Harrison,stuartshah@example.com,Bolivia,2025-12-22,medium
CUST_00194,Jemma Harris,foxjanet@example.org,Pitcairn Islands,2022-07-23,unknown
CUST_00195,Dr Philip Davies,dominicharrison@example.net,China,2021-04-19,low
CUST_00196,Miss Samantha Williams,tinamay@example.com,Congo,2021-06-29,low
CUST_00197,Mrs Helen Greenwood,ykay@example.org,Faroe Islands,2023-03-17,medium
CUST_00198,Mrs Gillian Fisher,morleymolly@example.org,Slovenia,2021-06-24,medium
CUST_00199,Heather Dale,igreen@example.com,Maldives,2023-08-17,low
CUST_00200,Dr Christian Crawford,vpayne@example.com,Cote d'Ivoire,2025-06-20,low
CUST_00201,Mohamed Mills,smithpeter@example.net,Saint Kitts and Nevis,2024-01-22,low
CUST_00202,Dr Glenn Richards,deborah33@example.net,Iraq,2022-08-04,high
CUST_00203,Dr Sam Sims,hgarner@example.com,Guatemala,2022-10-21,low
CUST_00204,Angela Pearson,hortonchelsea@example.com,Iceland,2021-08-06,low
CUST_00205,William Craig,marilyn44@example.net,Singapore,2021-10-22,high
CUST_00206,Gail Barnes,hturner@example.org,Djibouti,2025-06-25,medium
CUST_00207,Amy Kelly,garethallen@example.org,Guam,2024-01-01,low
CUST_00208,Paula Taylor,colin18@example.org,Guinea,2025-07-16,high
CUST_00209,Duncan Scott,simpsonjean@example.com,Northern Mariana Islands,2022-10-15,low
CUST_00210,Toby Bailey-Storey,carole97@example.com,Dominica,2023-10-02,low
CUST_00211,Mr Harry Booth,jball@example.net,Philippines,2025-02-07,high
CUST_00212,Brandon Bennett,wardjanice@example.com,Saint Pierre and Miquelon,2023-07-29,medium
CUST_00213,Adrian Saunders-Wilkins,debraharvey@example.org,Suriname,2024-06-01,high
CUST_00214,Shane Clements,rkhan@example.net,South Africa,2021-10-28,low
CUST_00215,Mr Ross Holt,smithsimon@example.com,Malaysia,2022-05-11,medium
CUST_00216,Frank Davidson,csmith@example.com,Israel,2026-01-02,high
CUST_00217,Nicole Young,francissimpson@example.net,Saint Kitts and Nevis,2025-09-13,high
CUST_00218,Susan Hayward-Hunter,whittakerdeclan@example.net,Finland,2021-05-30,medium
CUST_00219,Sian Hill,zhayward@example.org,Antarctica (the territory South of 60 deg S),2025-06-13,low
CUST_00220,Carolyn Hill,dixonvictor@example.com,Romania,2022-01-17,high
CUST_00221,Sara Baker,nriley@example.com,Indonesia,2022-08-02,high
CUST_00222,Graham Preston-Page,sward@example.net,Belize,2021-12-31,high
CUST_00223,Caroline Wade,julie95@example.org,Saint Barthelemy,2023-01-20,low
CUST_00224,Beth James,shawwayne@example.net,Benin,2023-04-14,high
CUST_00225,Jack Wright,michellebartlett@example.com,Angola,2024-07-23,medium
CUST_00226,Alan Shah,marshallfrances@example.org,Uganda,2025-02-13,medium
CUST_00227,Bethan Holden,invalid_email,Iceland,2022-04-24,high
CUST_00228,Natalie Holden,invalid_email,North Macedonia,2023-04-04,unknown
CUST_00229,Terry Nash-Grant,vbradshaw@example.org,Liechtenstein,2022-02-06,medium
CUST_00230,Derek Fox-Shaw,ian13@example.net,San Marino,2021-08-28,medium
CUST_00231,Frances Bartlett,barberjill@example.com,Solomon Islands,2023-07-17,high
CUST_00232,Dr Pauline Holmes,ahmedleslie@example.org,Anguilla,2025-04-15,medium
CUST_00233,Vanessa Morrison,callumhall@example.net,Morocco,2022-11-28,low
CUST_00234,Alan Clark,ahmedronald@example.org,North Macedonia,2021-05-31,low
CUST_00235,Bruce Jones,knightgemma@example.net,Ethiopia,2024-12-24,low
CUST_00236,Lorraine Smith,amelia04@example.com,Botswana,2021-07-19,low
CUST_00237,Benjamin Parker-Davies,westonlesley@example.net,Cyprus,2026-01-09,unknown
CUST_00238,Dr Henry Freeman,denisehope@example.com,Samoa,2024-09-20,low
CUST_00239,Bethany Lee,hcooper@example.org,Tanzania,2025-09-17,high
CUST_00240,Emma Johnson,aaron57@example.com,Somalia,2021-04-09,high
CUST_00241,Diane Woods,eileen06@example.org,Luxembourg,2025-08-15,low
CUST_00242,Mr Wayne Taylor,gail73@example.com,Gabon,2025-10-19,high
CUST_00243,Eileen Thomas,jeffreywilson@example.com,Mayotte,2025-06-08,low
CUST_00244,Victoria Williams-Kelly,jessicachapman@example.com,French Polynesia,2022-11-06,low
CUST_00245,Lee Russell,barrettjustin@example.com,British Indian Ocean Territory (Chagos Archipelago),2024-05-22,low
CUST_00246,Dylan Bolton,johnsonjoel@example.org,Moldova,2022-03-26,high
CUST_00247,Jayne Bryant,damien53@example.org,Belize,2025-06-26,high
CUST_00248,Karl Davidson,carl59@example.com,Georgia,2023-06-09,low
CUST_00249,Francis Taylor-Gordon,lawrence95@example.net,Syrian Arab Republic,2024-03-10,low
CUST_00250,Antony Booth,elliot25@example.com,United States Minor Outlying Islands,2023-09-21,low
CUST_00251,Janice Cooke,masonbernard@example.net,American Samoa,2025-12-04,low
CUST_00252,Dr Hazel Hunt,jordanbarlow@example.org,Pakistan,2024-02-22,medium
CUST_00253,Ann Wright,hargreavesmax@example.org,Cyprus,2023-07-12,low
CUST_00254,Diane Nicholson,ycross@example.com,Monaco,2021-04-06,high
CUST_00255,Dr James Payne,justin74@example.com,Pakistan,2024-12-24,low
CUST_00256,Patrick Ellis,nblackburn@example.org,Luxembourg,2025-10-13,medium
CUST_00257,Dr Nigel Hill,sandra10@example.net,French Guiana,2024-10-08,high
CUST_00258,Clifford Brown,jbaker@example.net,Yemen,2021-04-29,medium
CUST_00259,Mr Leon Bennett,pagemaurice@example.org,Gibraltar,2024-10-20,low
CUST_00260,Adrian Ahmed,otaylor@example.com,Chad,2025-01-29,high
CUST_00261,Kimberley Harrison,wendy77@example.org,Uruguay,2022-06-27,low
CUST_00262,Miss Sylvia Evans,deanaimee@example.com,Indonesia,2023-04-14,high
CUST_00263,Dr Wayne Herbert,smoore@example.org,Tajikistan,2022-11-03,high
CUST_00264,Miss Claire Johnson,graham66@example.org,Somalia,2022-09-19,high
CUST_00265,Mr Bradley Pollard,deanlynne@example.com,Congo,2024-03-16,medium
CUST_00266,Ronald Blackburn-Collins,sara13@example.net,French Southern Territories,2022-05-20,low
CUST_00267,Ms Dawn Wheeler,harrisonhannah@example.com,Jamaica,2023-02-27,medium
CUST_00268,Jade Patel-Martin,whall@example.com,Ecuador,2022-06-07,medium
CUST_00269,Georgina Lord,lperry@example.org,Western Sahara,2023-12-01,low
CUST_00270,Dr Linda Jordan,uscott@example.com,United States of America,2022-11-05,low
CUST_00271,Kim Burns,conor17@example.com,Zambia,2024-01-16,low
CUST_00272,Dr Russell Nelson,juliagreen@example.org,Uzbekistan,2024-10-26,high
CUST_00273,Geraldine Gregory,jessicapeters@example.net,Equatorial Guinea,2025-12-08,medium
CUST_00274,Dr Mohammad Baker,elliot09@example.com,Jordan,2025-05-18,medium
CUST_00275,Irene Pugh,lisacunningham@example.org,Kiribati,2025-06-23,medium
CUST_00276,Anne Reeves,daviesbenjamin@example.net,Togo,2021-02-20,medium
CUST_00277,John Tomlinson,jwalsh@example.net,Austria,2023-07-31,medium
CUST_00278,Nathan Wood,geraldine90@example.net,Swaziland,2023-07-11,high
CUST_00279,Jayne Davies,ryanhall@example.com,New Caledonia,2025-08-28,low
CUST_00280,Roger Giles,joshua07@example.com,Sudan,2025-12-26,high
CUST_00281,Duncan Knight-Bell,geraldinehoughton@example.org,Serbia,2025-08-11,high
CUST_00282,Brian Evans,mohammed37@example.com,Liberia,2025-09-19,high
CUST_00283,Natasha Kaur,mossbradley@example.com,Sao Tome and Principe,2023-01-23,low
CUST_00284,Graham Smith,billy62@example.org,Taiwan,2021-03-28,low
CUST_00285,Mrs Holly Ferguson,stonepaul@example.com,Thailand,2024-08-22,medium
CUST_00286,Hollie King-James,katherine83@example.org,Puerto Rico,2021-08-06,high
CUST_00287,Aimee Griffin,eosborne@example.org,Turks and Caicos Islands,2023-12-25,medium
CUST_00288,Ms Lucy Hughes,georgia20@example.com,Bangladesh,2025-04-25,low
CUST_00289,Jacqueline Sullivan,stevenskaren@example.org,Andorra,2025-08-20,low
CUST_00290,Charles Rowley,tmiller@example.com,North Macedonia,2021-06-22,low
CUST_00291,Aimee Scott,gailwest@example.org,Bouvet Island (Bouvetoya),2024-03-24,low
CUST_00292,Mr Dale Bell,barry14@example.net,Tonga,2022-07-31,high
CUST_00293,Grace Smith,nroberts@example.net,Saint Lucia,2022-08-10,medium
CUST_00294,Gordon Bryan,suttonliam@example.com,Angola,2021-11-16,low
CUST_00295,Christine Collins,tracey37@example.net,Armenia,2022-08-26,medium
CUST_00296,Nicholas Cox,invalid_email,United States Minor Outlying Islands,2022-03-28,low
CUST_00297,Terry Griffiths,mallen@example.net,Korea,2023-05-30,medium
CUST_00298,Andrea Parker,josephlambert@example.com,Brazil,2023-02-28,medium
CUST_00299,Mr Dominic Hall,henryjones@example.com,Georgia,2021-03-30,low
CUST_00300,Ms Margaret Hill,jayne10@example.com,Colombia,2022-02-27,low
CUST_00301,Miss Chloe Ashton,lewischelsea@example.com,Bosnia and Herzegovina,2023-05-03,medium
CUST_00302,Ms Clare Walsh,geraldhill@example.org,Burundi,2022-03-04,high
CUST_00303,Mr David Norman,staceysmith@example.org,Kenya,2023-09-13,low
CUST_00304,Barry Wood,russellsheppard@example.com,New Zealand,2025-09-16,low
CUST_00305,Elizabeth Reynolds,wwatts@example.org,Cape Verde,2021-04-07,high
CUST_00306,Josh Crawford,julian33@example.com,Guam,2021-05-25,high
CUST_00307,Charles Cameron-Thompson,stanley95@example.net,Thailand,2024-09-10,low
CUST_00308,Mr Brandon Marsh,eryan@example.com,Slovakia (Slovak Republic),2025-09-27,low
CUST_00309,Laura Pickering,flynnrebecca@example.org,Samoa,2023-09-02,low
CUST_00310,Emma Swift,robinlloyd@example.org,Ireland,2021-12-20,low
CUST_00311,Sandra Butler,julie50@example.org,Iran,2021-07-23,medium
CUST_00312,Eric Ali-Davies,groberts@example.org,Haiti,2024-07-17,medium
CUST_00313,Gerard Gill,jasmine05@example.com,Hungary,2024-10-20,medium
CUST_00314,Mr Glenn Reed,hallsylvia@example.net,Grenada,2025-03-16,low
CUST_00315,Stacey Kent,jamie80@example.org,Somalia,2021-08-22,medium
CUST_00316,Mr Luke Benson,nicholas26@example.net,Guinea,2024-01-13,low
CUST_00317,Dr Martin Curtis,donnashaw@example.net,Benin,2023-02-10,low
CUST_00318,Dr Toby Jones,johnwhitehouse@example.org,Slovakia (Slovak Republic),2023-10-16,medium
CUST_00319,Lynda Bell-Robinson,walkerrhys@example.net,Malta,2025-12-17,low
CUST_00320,Mathew Freeman,nigelmorris@example.org,Saint Kitts and Nevis,2022-10-28,medium
CUST_00321,Allan Thompson-Jones,bethanywhittaker@example.net,Eritrea,2025-03-19,medium
CUST_00322,Jeffrey Lee,uwright@example.com,Myanmar,2024-05-15,medium
CUST_00323,Miss Janice Lawrence,bruce51@example.com,Ethiopia,2023-06-25,medium
CUST_00324,Graeme Gardner-Turner,christopherlittle@example.com,Spain,2022-07-03,medium
CUST_00325,Mr Kyle Bishop,kyle23@example.net,Sierra Leone,2022-07-31,high
CUST_00326,Mrs Lynda Barton,vturner@example.com,Angola,2021-07-14,high
CUST_00327,Danny Jones-Davis,tylerjanice@example.net,United Arab Emirates,2024-01-09,high
